"Engine","Line","Method"
"AddUsingsPreview","public String ToString()","ToString"
"AddUsingsPreview","public Int32 GetHashCode()","GetHashCode"
"AddUsingsPreview","public Boolean Equals(Object obj)","Equals"
"AddUsingsPreview","public Boolean Equals(AddUsingsPreview other)","Equals"
"AddUsingsPreview","public AddUsingsPreview <Clone>$()","<Clone>$"
"AddUsingsPreview","public Void Deconstruct(Boolean& SolutionRequired, List`1& UsingsToAdd, String& Warning, String& UpdatedContent)","Deconstruct"
"AdvancedLogicEngine","public async Task<Dictionary<String, String>> InvertBooleanLogicAsync(String filePath, String boolName, CancellationToke","InvertBooleanLogicAsync"
"AdvancedLogicEngine","public async Task<String> ConvertIfToSwitchExpressionAsync(String filePath, String methodName, CancellationToken cancell","ConvertIfToSwitchExpressionAsync"
"AdvancedLogicEngine","public async Task<String> ConvertIfToSwitchStatementAsync(String filePath, String methodName, CancellationToken cancella","ConvertIfToSwitchStatementAsync"
"AdvancedLogicEngine","public async Task<String> ExtensionToStaticAsync(String filePath, String methodName, CancellationToken cancellationToken","ExtensionToStaticAsync"
"AdvancedLogicEngine","public async Task<String> ConvertStaticToExtensionAsync(String filePath, String methodName, CancellationToken cancellati","ConvertStaticToExtensionAsync"
"AdvancedLogicEngine","public async Task<String> ConvertForEachToForAsync(String filePath, Int32 line, CancellationToken ct = null)","ConvertForEachToForAsync"
"AdvancedLogicEngine","public async Task<String> ConvertForToForEachAsync(String filePath, Int32 line, CancellationToken ct = null)","ConvertForToForEachAsync"
"AdvancedLogicEngine","public async Task<String> ConvertWhileToForAsync(String filePath, Int32 line, CancellationToken ct = null)","ConvertWhileToForAsync"
"AdvancedRefactoringEngine","public async Task<String> ReplaceStringConcatWithInterpolationAsync(String filePath, CancellationToken cancellationToken","ReplaceStringConcatWithInterpolationAsync"
"AdvancedRefactoringEngine","public async Task<String> OptimizeTaskWaitAsync(String filePath, CancellationToken cancellationToken = null)","OptimizeTaskWaitAsync"
"AdvancedRefactoringEngine","public async Task<Dictionary<String, String>> ExtractServiceFromControllerAsync(String filePath, String controllerName, ","ExtractServiceFromControllerAsync"
"AdvancedStructuralEngine","public async Task<String> ConvertAbstractClassToInterfaceAsync(String filePath, String className, CancellationToken canc","ConvertAbstractClassToInterfaceAsync"
"AdvancedStructuralEngine","public async Task<String> ReplaceConstructorWithFactoryAsync(String filePath, String className, CancellationToken cancel","ReplaceConstructorWithFactoryAsync"
"AdvancedStructuralEngine","public async Task<Dictionary<String, String>> ExtractSuperclassAsync(String[] filePaths, String[] classNames, String new","ExtractSuperclassAsync"
"AdvancedStructuralEngine","public async Task<Dictionary<String, String>> ExtractClassAsync(String filePath, String className, String newClassName, ","ExtractClassAsync"
"AdvancedStructuralEngine","public async Task<Dictionary<String, String>> InlineClassAsync(String sourceFilePath, String targetFilePath, String clas","InlineClassAsync"
"AdvancedTypeEngine","public async Task<Dictionary<String, String>> ConvertTupleToClassAsync(String filePath, String methodName, String newCla","ConvertTupleToClassAsync"
