"Engine","Line","Method"
"DocumentationTools","public Object ProjectDoc(DocAction action, DocType docType, String name = null, String content = null, RequestContext<Ca","ProjectDoc"
"GitTools","public async Task<Object> Git(GitOperation operation, Int32 count = 20, String target = \working\, String paths = null, ","Git"
"OutlineItem","public String ToString()","ToString"
"OutlineItem","public Int32 GetHashCode()","GetHashCode"
"OutlineItem","public Boolean Equals(Object obj)","Equals"
"OutlineItem","public Boolean Equals(OutlineItem other)","Equals"
"OutlineItem","public OutlineItem <Clone>$()","<Clone>$"
"OutlineItem","public Void Deconstruct(String& Kind, String& Name, String& Container, Int32& StartLine, Int32& EndLine)","Deconstruct"
"ScanDescriptor","public String ToString()","ToString"
"ScanDescriptor","public Int32 GetHashCode()","GetHashCode"
"ScanDescriptor","public Boolean Equals(Object obj)","Equals"
"ScanDescriptor","public Boolean Equals(ScanDescriptor other)","Equals"
"ScanDescriptor","public ScanDescriptor <Clone>$()","<Clone>$"
"ScanDescriptor","public Void Deconstruct(DetectorId& Id, String& Domain, String& ScopeHint, String& Description)","Deconstruct"
"SentinelAdvancedRefactoringTools","public async Task<ToolResult<Object>> ChangeSignature(String filepath, String methodName, Int32[] newParameterOrder, Boo","ChangeSignature"
"SentinelAdvancedRefactoringTools","public async Task<ToolResult<Object>> ConvertAnonymousToNamed(String filepath, String newClassName, RequestContext<CallT","ConvertAnonymousToNamed"
"SentinelAdvancedRefactoringTools","public async Task<ToolResult<Object>> InlineClass(String rawSourceFilePath, String rawTargetFilePath, String className, ","InlineClass"
"SentinelAdvancedRefactoringTools","public async Task<ToolResult<Object>> MoveAllTypesToFiles(String scope, String target = null, Boolean autoStage = true, ","MoveAllTypesToFiles"
"SentinelAdvancedRefactoringTools","public async Task<ToolResult<Object>> InvertAssignments(String filepath, Int32 startLine, Int32 endLine, RequestContext<","InvertAssignments"
"SentinelAdvancedRefactoringTools","public async Task<ToolResult<Object>> PullUpMember(String filepath, String className, String memberName, Boolean autoSta","PullUpMember"
"SentinelAdvancedRefactoringTools","public async Task<ToolResult<Object>> IntroduceParameterObject(String filepath, String methodName, String newTypeName = ","IntroduceParameterObject"
"SentinelAdvancedRefactoringTools","public async Task<ToolResult<Object>> Introduce(String filepath, String contextSnippet, String newName, String as, Strin","Introduce"
"SentinelAdvancedRefactoringTools","public async Task<ToolResult<Object>> ExtractMembers(String filepath, String className, String as, String newTypeName = ","ExtractMembers"
"SentinelAdvancedRefactoringTools","public async Task<ToolResult<Object>> SyncInterface(String filepath, String interfaceName, String action, String classNa","SyncInterface"
"SentinelAdvancedRefactoringTools","public async Task<ToolResult<Object>> Inline(String filepath, String targetName, String kind, String methodName = null, ","Inline"
"SentinelAdvancedRefactoringTools","public async Task<ToolResult<Object>> WrapRange(String filepath, Int32 startLine, Int32 endLine, String wrapper, String ","WrapRange"
"SentinelAdvancedRefactoringTools","public async Task<ToolResult<Object>> MoveType(String filepath, String typeName, String destination, Boolean autoStage =","MoveType"
"SentinelAsyncifyTools","public async Task<ToolResult<Object>> ScanAsyncMigrationCandidates(ToolScope scope = solution, String projectName = null","ScanAsyncMigrationCandidates"
"SentinelAsyncifyTools","public async Task<ToolResult<AsyncMigrationProgressReport>> GetAsyncMigrationProgress(String projectName = null, Request","GetAsyncMigrationProgress"
"SentinelAsyncifyTools","public async Task<ToolResult<BatchResultSummary>> FlagAsyncMigrationCandidates(String scope = \project\, List<FlagCandid","FlagAsyncMigrationCandidates"
"SentinelAsyncifyTools","public async Task<ToolResult<BatchResultSummary>> ClearAsyncMigrationCandidateFlags(String scope = \project\, String pro","ClearAsyncMigrationCandidateFlags"
"SentinelAsyncifyTools","public async Task<ToolResult<BridgeAsyncMethodsResult>> BridgeAsyncMethods(List<BatchTarget> targets, Boolean dryRun = f","BridgeAsyncMethods"
"SentinelAsyncifyTools","public async Task<ToolResult<UpliftCallersResult>> UpliftCallers(List<UpliftTarget> targets, Boolean dryRun = false, Int","UpliftCallers"
"SentinelAsyncifyTools","public async Task<ToolResult<BatchResultSummary>> PropagateCancellationToken(List<BatchTarget> targets, Boolean dryRun =","PropagateCancellationToken"
"SentinelAsyncifyTools","public async Task<ToolResult<BatchResultSummary>> AddCancellationToken(List<BatchTarget> targets, Boolean dryRun = false","AddCancellationToken"
"SentinelAsyncifyTools","public async Task<ToolResult<BatchResultSummary>> ExtractEventHandlers(List<HandlerExtractTarget> targets, Boolean dryRu","ExtractEventHandlers"
"SentinelAsyncifyTools","public async Task<ToolResult<BatchResultSummary>> EventHandlersToAsync(String projectName = null, Boolean dryRun = false","EventHandlersToAsync"
"SentinelAsyncifyTools","public async Task<ToolResult<BatchResultSummary>> Asyncify(String projectName = null, List<FlagCandidateTarget> methodTa","Asyncify"
"SentinelCodemodTools","public async Task<ToolResult<Object>> ApplyFileCodemod(String filepath, String transform, Boolean libraryMode = true, Bo","ApplyFileCodemod"
"SentinelCodemodTools","public async Task<ToolResult<Object>> ApplyMethodCodemod(String filepath, String methodName, String transform, String di","ApplyMethodCodemod"
"SentinelCodemodTools","public async Task<ToolResult<Object>> ApplyClassCodemod(String filepath, String className, String transform, String prop","ApplyClassCodemod"
"SentinelCodemodTools","public async Task<ToolResult<Object>> Generate(String kind, String filepath = null, String className = null, String meth","Generate"
"SentinelGenerationTools","public Object GenerateClassesFromJson(String json, String rootClassName, String namespace, RequestContext<CallToolReques","GenerateClassesFromJson"
"SentinelGenerationTools","public async Task<String> GenerateHttpClient(String filepath, String controllerName, RequestContext<CallToolRequestParam","GenerateHttpClient"
"SentinelGenerationTools","public async Task<String> GenerateDefaultConfigJson(String projectName, RequestContext<CallToolRequestParams> requestPar","GenerateDefaultConfigJson"
"SentinelGenerationTools","public async Task<String> InterpolateStringSafe(String filepath, String contextSnippet, String lineBefore = null, String","InterpolateStringSafe"
"SentinelIntelligenceTools","public async Task<ToolResult<Object>> GetComprehensiveHealthReport(List<HealthEngineType> engines = null, String project","GetComprehensiveHealthReport"
"SentinelIntelligenceTools","public async Task<ToolResult<Object>> GetSolutionMetrics(String projectName = null, RequestContext<CallToolRequestParams","GetSolutionMetrics"
"SentinelIntelligenceTools","public async Task<ToolResult<Object>> GetCodeInventory(String filepath, RequestContext<CallToolRequestParams> requestPar","GetCodeInventory"
"SentinelIntelligenceTools","public async Task<ToolResult<Object>> GetDiRegistrations(String projectName = null, String filepath = null, String lifet","GetDiRegistrations"
"SentinelIntelligenceTools","public async Task<ToolResult<Object>> GetCallGraph(String filepath, String methodName, String direction = \forward\, Int","GetCallGraph"
"SentinelIntelligenceTools","public async Task<ToolResult<String>> PreviewMoveFileToNamespaceFolder(String filepath, RequestContext<CallToolRequestPa","PreviewMoveFileToNamespaceFolder"
"SentinelIntelligenceTools","public async Task<ToolResult<Object>> TraceVariableLifetime(String filepath, String variableName, Int32 lineNumber, Requ","TraceVariableLifetime"
"SentinelModernizationTools","public async Task<ToolResult<Object>> InvertBooleanLogic(String filepath, String boolName, RequestContext<CallToolReques","InvertBooleanLogic"
"SentinelQualityTools","public ToolOptionsResult DescribeAdvancedToolOptions(String toolName, RequestContext<CallToolRequestParams> requestParam","DescribeAdvancedToolOptions"
"SentinelQualityTools","public async Task<ToolResult<Object>> GetTestCoverageMap(String filepath, String methodName, RequestContext<CallToolRequ","GetTestCoverageMap"
"SentinelQualityTools","public async Task<ToolResult<Object>> GetMethodComplexity(String filepath, String methodName, RequestContext<CallToolReq","GetMethodComplexity"
"SentinelQualityTools","public async Task<ToolResult<Object>> AnalyzeForeachForLinqConversion(String filepath, String contextSnippet, String lin","AnalyzeForeachForLinqConversion"
"SentinelQualityTools","public async Task<ToolResult<Object>> AnalyzeSwitchForPatternConversion(String filepath, String contextSnippet, String l","AnalyzeSwitchForPatternConversion"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> RenameSymbol(String sessionId, String projectName, String docCommentId, String new","RenameSymbol"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> GenerateMapping(String filepath, String fromType, String toType, RequestContext<Ca","GenerateMapping"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> ReplaceMember(String filepath, String memberName, String newSource, RequestContext","ReplaceMember"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> RemoveMember(String filepath, String memberName, RequestContext<CallToolRequestPar","RemoveMember"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> AddUsingDirective(String filepath, String namespaceName, Boolean autoStage = true,","AddUsingDirective"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> AddEnumValue(String filepath, String enumName, String valueName, Nullable<Int32> e","AddEnumValue"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> ChangeAccessibility(String filepath, String targetName, String accessibility, Bool","ChangeAccessibility"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> AddSummaryComment(String filepath, String targetName, String summaryText, Boolean ","AddSummaryComment"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> AddConstructorParameter(String filepath, String className, String paramName, Strin","AddConstructorParameter"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> ExtractLocalVariable(String filepath, String contextSnippet, String variableName, ","ExtractLocalVariable"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> ExtractMethodSafe(String filepath, String newMethodName, String contextSnippet, St","ExtractMethodSafe"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> ModifyAttribute(String filepath, String targetName, String existingAttribute, Stri","ModifyAttribute"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> ModifyModifier(String filepath, String targetName, String modifier, AddRemoveActio","ModifyModifier"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> ModifyBaseType(String filepath, String typeName, String baseTypeName, AddRemoveAct","ModifyBaseType"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> AddMember(String filepath, String containerName, String newMemberSource, String po","AddMember"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> AddMemberTyped(String filepath, String containerName, String name, String type, Ty","AddMemberTyped"
"SentinelRefactoringTools","public async Task<ToolResult<Object>> SyncTypeAndFilename(String filepath, RequestContext<CallToolRequestParams> request","SyncTypeAndFilename"
"SentinelScanTools","public async Task<ToolResult<Object>> RunScanDetector(DetectorId detector, String scope, String filepath = null, String ","RunScanDetector"
"SentinelScanTools","public Task<ToolResult<Object>> DescribeScanDetectors(String domain = null, String detector = null, RequestContext<CallT","DescribeScanDetectors"
"SentinelScanTools","public async Task<ToolResult<Object>> AnalyzeMethod(String filepath, String methodName, String aspect, RequestContext<Ca","AnalyzeMethod"
"SentinelScanTools","public async Task<ToolResult<Object>> GetScanResult(String scanId = null, String filepath = null, Int32 limit = 50, Int3","GetScanResult"
"SentinelScanTools","public async Task<ToolResult<Object>> ScanBreakingChanges(List<PublicApiMember> baseline, String projectName = null, Str","ScanBreakingChanges"
"SentinelScanTools","public async Task<ToolResult<Object>> ScanDuplicateBlocksInClass(String filepath, String className, Int32 minStatements ","ScanDuplicateBlocksInClass"
"SentinelScanTools","public async Task<ToolResult<Object>> GetPublicApiSurface(String projectName = null, Boolean persistBaseline = false, St","GetPublicApiSurface"
"SentinelSymbolTools","public async Task<ToolResult<Object>> LocateSymbol(String symbolName, SymbolKindFilter symbolKind = any, String containi","LocateSymbol"
"SentinelSymbolTools","public async Task<ToolResult<Object>> InspectSymbol(String filepath, String contextSnippet, InspectSymbolAspect aspect, ","InspectSymbol"
"SentinelSymbolTools","public async Task<ToolResult<Object>> FindUsages(String name, FindUsagesSearchKind searchKind, String projectName = null","FindUsages"
"SentinelSymbolTools","public async Task<ToolResult<Object>> GetBestInsertionPoint(String filepath, String containerName, String memberKind, Re","GetBestInsertionPoint"
"SentinelSymbolTools","public async Task<ToolResult<Object>> PreviewRenameImpact(String filepath, String symbolName, String contextSnippet = nu","PreviewRenameImpact"
"SentinelSymbolTools","public async Task<ToolResult<Object>> FindReferences(String symbolName, FindReferencesKind kind, String filepath = null,","FindReferences"
"SentinelSymbolTools","public async Task<ToolResult<Object>> GetTypeInfo(String typeName, TypeInfoInclude include = both, String projectName = ","GetTypeInfo"
"SentinelWorkspaceTools","public Object Features(FeaturesAction action, List<String> names = null, List<KeyValuePair<String, Boolean>> enabled = n","Features"
"SentinelWorkspaceTools","public async Task<ToolResult<Object>> ListSolutionItems(SolutionItemsKind kind, String projectName = null, RequestContex","ListSolutionItems"
"SentinelWorkspaceTools","public ToolResult<List<SolutionFileInfo>> ListWorkspaceSolutions(String workspacePath, RequestContext<CallToolRequestPar","ListWorkspaceSolutions"
"SentinelWorkspaceTools","public async Task<ToolResult<Object>> LoadSolution(String solutionPath, RequestContext<CallToolRequestParams> requestPar","LoadSolution"
"SentinelWorkspaceTools","public async Task<HealthReport> Diagnose(String solutionPath = null, Boolean verbose = false, RequestContext<CallToolReq","Diagnose"
"SentinelWorkspaceTools","public List<String> ListExternalDiskChanges(RequestContext<CallToolRequestParams> requestParams = null, CancellationToke","ListExternalDiskChanges"
