Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Source code,Lines of Executable code
Assembly,RoslynSentinel.Basic (Debug), , , ,77,4022,3,411,22743,8805
Namespace,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic, , ,77,4022,3,411,22743,8805
Type,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AddUsingsPreview, ,100,1,1,1,9,0
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AddUsingsPreview,"AddUsingsPreview(bool, List<string>, string?, string)",100,1,,1,9,0
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AddUsingsPreview,SolutionRequired : bool,100,0,,0,1,0
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AddUsingsPreview,UsingsToAdd : List<string>,100,0,,1,1,0
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AddUsingsPreview,Warning : string?,100,0,,0,1,0
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AddUsingsPreview,UpdatedContent : string,100,0,,0,1,0
Type,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine, ,47,529,1,164,2383,988
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,_workspaceManager : PersistentWorkspaceManager,100,0,,1,1,0
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,_config : SentinelConfiguration,100,0,,1,1,0
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"AnalysisEngine(PersistentWorkspaceManager, SentinelConfiguration)",85,1,,2,5,2
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"GetTargetDocumentsAsync(Solution, string?, string?, bool, CancellationToken) : Task<IEnumerable<(T1, T2, T3)<Document, SyntaxNode, SemanticModel?>>>",50,11,,13,32,19
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"FindLargeTypesAsync(int, string?, CancellationToken) : Task<List<LargeTypeReport>>",52,6,,22,25,16
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"FindLargeMethodsAsync(int, string?, CancellationToken) : Task<List<LargeMethodReport>>",51,8,,23,26,17
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"FindDuplicateMethodsAsync(int, string?, CancellationToken) : Task<List<DuplicateMethodGroup>>",48,9,,26,34,22
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"FindInterfaceExtractionCandidatesAsync(int, string?, CancellationToken) : Task<List<InterfaceCandidateReport>>",49,8,,25,30,21
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"DetectLongParameterListsAsync(int, string?, CancellationToken) : Task<List<string>>",55,4,,19,23,14
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"FindUninstantiatedTypesAsync(string?, CancellationToken) : Task<List<string>>",48,9,,25,43,24
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"DetectUnreachableCodeAsync(FilePath, string, CancellationToken) : Task<List<string>>",51,6,,22,30,19
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,FindCircularDependenciesAsync(CancellationToken) : Task<List<string>>,57,3,,12,18,13
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"HasCycle(ProjectId, HashSet<ProjectId>, List<ProjectId>, Dictionary<ProjectId, Project>) : bool",61,5,,7,26,11
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"GenerateCallTreeAsync(FilePath, string, int, CancellationToken) : Task<DocumentEditResult>",41,16,,29,92,38
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"BuildCallTree(IMethodSymbol, int, int, StringBuilder, HashSet<ISymbol>, CancellationToken) : Task",53,11,,26,37,16
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"GenerateEqualityOverridesAsync(FilePath, string, CancellationToken) : Task<DocumentEditResult>",35,15,,61,179,50
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,IsCollectionType(string) : bool,75,10,,0,14,2
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,GetElementType(string) : string,64,4,,2,17,8
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"DetectMemoryLeaksAsync(FilePath, CancellationToken) : Task<List<string>>",27,44,,45,183,77
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,IsLikelyDisposableType(string) : bool,81,13,,0,9,1
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,IsGrowableCollectionType(string) : bool,84,8,,0,7,1
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"AnalyzeSemaphoreUsageAsync(FilePath, CancellationToken) : Task<List<string>>",41,17,,34,87,37
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"FindPossibleInfiniteLoopsAsync(FilePath, CancellationToken) : Task<List<string>>",50,13,,26,39,18
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,HasExitStatement(StatementSyntax) : bool,85,4,,10,5,1
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"FindInternalClassesThatCouldBePrivateAsync(string?, CancellationToken) : Task<List<string>>",50,6,,25,32,21
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"DetectMismatchedAwaitAsync(string?, string?, CancellationToken) : Task<List<string>>",26,61,,49,238,73
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,HasJustifyingComment(BlockSyntax) : bool,82,2,,8,6,2
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,IsTestFile(string?) : bool,84,6,,1,7,1
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"CheckForEmptyCatchBlocksAsync(string?, string?, CancellationToken) : Task<List<string>>",53,5,,21,26,16
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"FindLargeSwitchStatementsAsync(int, string?, CancellationToken) : Task<List<string>>",55,4,,17,21,14
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"CheckForRedundantCastAsync(string?, string?, CancellationToken) : Task<List<string>>",50,8,,24,33,18
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"OptimizeResourceDisposalAsync(string?, string?, CancellationToken) : Task<List<string>>",46,13,,30,44,25
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"DetectReflectionUsageAsync(string?, string?, CancellationToken) : Task<List<string>>",54,5,,20,25,15
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"DetectInefficientStringComparisonsAsync(string?, string?, CancellationToken) : Task<List<string>>",52,9,,25,26,15
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"FindBoxingAllocationsAsync(string?, string?, CancellationToken) : Task<List<string>>",43,12,,27,65,32
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"IsBoxing(ITypeSymbol?, ITypeSymbol?) : bool",75,5,,2,9,3
Member,RoslynSentinel.Basic (Debug),RoslynSentinel.Basic,AnalysisEngine,"FindPossibleDeadlocksAsync(string?, string?, CancellationToken) : Task<List<string>>",55,5,,18,24,14
